md_ft,incl_deg,azi_deg,tvd_ft,vs_ft,ns_ft,ew_ft,closure_ft,closure_azi_deg,dls_deg_per_100ft,comment
6066.0,91.6,81.1,3606.15,2861.48,149.69,2857.91,2861.83,87.0,2.88,
6097.0,90.2,82.4,3605.66,2892.38,154.14,2888.59,2892.7,86.95,6.16,
6128.0,90.4,82.6,3605.5,2923.32,158.19,2919.32,2923.61,86.9,0.91,
6160.0,89.6,82.2,3605.5,2955.25,162.42,2951.04,2955.51,86.85,2.8,
6191.0,89.8,81.8,3605.66,2986.17,166.73,2981.74,2986.4,86.8,1.44,
6223.0,90.1,82.0,3605.69,3018.09,171.24,3013.42,3018.28,86.75,1.13,
6254.0,90.6,81.8,3605.5,3049.0,175.61,3044.11,3049.17,86.7,1.74,
6286.0,90.8,82.0,3605.11,3080.92,180.12,3075.79,3081.06,86.65,0.88,
6317.0,91.0,81.3,3604.62,3111.82,184.62,3106.46,3111.94,86.6,2.35,
6349.0,90.9,81.1,3604.09,3143.7,189.51,3138.07,3143.79,86.54,0.7,
6380.0,89.8,81.4,3603.9,3174.59,194.23,3168.71,3174.66,86.49,3.68,
6411.0,90.4,81.5,3603.85,3205.48,198.84,3199.37,3205.54,86.44,1.96,Last Nevis MWD Survey
6460.0,90.0,81.5,3603.68,3254.32,206.08,3247.83,3254.36,86.37,0.82,Survey Projection to TD
